,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
0,False,/3bHz9dYSZ5XDxY0zDaBpYgUOhE2.jpg,"[80, 18, 9648]",290193,['KR'],ko,들쥐,"A reclusive writer wakes to find his identity stolen — and must ally with a ruthless loan shark to reclaim his life from a man known as ""The Rat.""",111.4685,/2mwgHfOyrFrmvozjFoEXHRdfGhv.jpg,2026-08-28,False,Mousetrap,7.9,20
1,False,/mp2AFsWsuyxCzenJh3DTKw7z4jG.jpg,"[18, 35]",291496,['KR'],ko,이런 엿같은 사랑,An ambitious prosecutor loses her memory and moves in with a boxing coach who claims to be her boyfriend. Can this sticky situation turn into real love?,63.7755,/tSZ4aFpTGc8Oj52SuzPUUZ7WKL0.jpg,2026-08-07,False,Our Sticky Love,8.673,78
2,False,/6HBi1vfb70PfeTx78BKv2md42mm.jpg,"[18, 35]",18495,['KR'],ko,논스톱,"Nonstop is a South Korean slice-of-life sitcom that broadcast its first season in 2000 on MBC. It continued with 5 more seasons. The series was popular for its cast of teen idols, many who debuted through the show..",59.6797,/elXJzhz1dM0lO7fK2BfO2pVtC7l.jpg,2000-05-15,False,Nonstop,5.333,6
3,False,/vyG93jhmPL7tBIhRtCLa5mdBKob.jpg,"[10759, 18, 35]",276161,['KR'],ko,참교육,An inspector from the Educational Rights Protection Bureau (ERPB) who is authorized by the government to use physical intervention and unconventional methods to discipline delinquent students and reform the educational system.,56.6841,/fMECSPrTmRClSViMsXFYmiYIcWP.jpg,2026-06-05,False,Teach You a Lesson,9.412,854
4,False,/fYL4I6cezb06BHhQlrNjNhy7jhf.jpg,[18],305644,['KR'],ko,포핸즈,"When two young pianists from completely different worlds meet at an elite music high school, the melodies of their lives become intimately intertwined.",51.7464,/a7p6htiJKx68USDAcilJ5rzKAWB.jpg,2026-08-29,False,"Four Hands, Two Sonatas",9.5,6
5,False,/cLTAda6fMRirkCY1xfO4pmcHVkk.jpg,"[10759, 18]",200709,['KR'],ko,약한영웅,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",47.318,/5Sd01WeraL2oA3Vv6O4rcRxockn.jpg,2022-11-18,False,Weak Hero,8.691,519
6,False,/ppG2MqOXVg7cDFgdJpKeS3OjZPr.jpg,"[18, 35]",134465,['KR'],ko,크레이지 러브,"No Go Jin is the most popular mathematics instructor in the private education field and the CEO of GOTOP Education. Even though he has only a high school level education, he has achieved all of his success due to his extreme intelligence. He seems like a perfect man with a handsome appearance, high IQ, and wealth. He is also narcissistic. One day, he is suddenly warned that he will be murdered.

Lee Shin A works as No Go Jin’s secretary. She is a diligent and responsible employee. Due to her quiet and introverted personality, she has little presence with her boss No Go Jin and her colleagues at work. Her colleagues begin to recognize her, because she has worked for the notorious No Go Jin for more than 1 year. She then learns that she does not have much time left to live.",45.8016,/wQmABWWAGsifRGn2nltTJRLEF3Y.jpg,2022-03-07,False,Crazy Love,7.7,81
7,False,/2meX1nMdScFOoV4370rqHWKmXhY.jpg,"[10759, 9648, 18]",93405,['KR'],ko,오징어 게임,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",43.6147,/1QdXdRYfktUSONkl1oD5gc6Be0s.jpg,2021-09-17,False,Squid Game,7.855,17702
8,False,/mWVeYmtCfA3zvSeZtW5bN2Khe01.jpg,"[18, 10759, 9648]",215072,['KR'],ko,킬러들의 쇼핑몰,A niece who lost her parents and grew up in the hands of an uncle who runs a shopping mall faces a new truth after her uncle's sudden death.,40.6065,/7yUY1HUyQuybbvkAAhLzQ7x1l9g.jpg,2024-01-17,False,A Shop for Killers,8.469,229
9,False,/p9tpGftvG18M5y5wsBmPrQpVBsd.jpg,"[35, 10765, 18]",298610,['KR'],ko,오싹한 연애,"When a ghost-seeing heir and an ace prosecutor learn that a single touch makes them a strangely effective duo, they team up to crack unsolved murders.",38.044,/acVOH8Pr5LEZ7WKZCbzwNuHVr9x.jpg,2026-07-18,False,Spooky in Love,8.681,72
